Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10004.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1047.JPEG, Bits: 8, Size: (500, 375), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10482.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1052.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1053.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10534.JPEG, Bits: 8, Size: (500, 299), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1054.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1055.JPEG, Bits: 8, Size: (200, 133), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10586.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10602.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10669.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10716.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10749.JPEG, Bits: 8, Size: (240, 189), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1085.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10862.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1087.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1089.JPEG, Bits: 8, Size: (150, 110), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1093.JPEG, Bits: 8, Size: (500, 334), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10960.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_10982.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1100.JPEG, Bits: 8, Size: (48, 48), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11049.JPEG, Bits: 8, Size: (500, 334), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1105.JPEG, Bits: 8, Size: (400, 266), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11123.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1115.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11153.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1118.JPEG, Bits: 8, Size: (297, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11180.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11221.JPEG, Bits: 8, Size: (318, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11224.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1127.JPEG, Bits: 8, Size: (476, 310), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1128.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11297.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1131.JPEG, Bits: 8, Size: (500, 268), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1132.JPEG, Bits: 8, Size: (360, 297), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11339.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11357.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11376.JPEG, Bits: 8, Size: (331, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_114.JPEG, Bits: 8, Size: (573, 795), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1144.JPEG, Bits: 8, Size: (500, 304), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1147.JPEG, Bits: 8, Size: (336, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11498.JPEG, Bits: 8, Size: (500, 334), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11526.JPEG, Bits: 8, Size: (334, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1154.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11550.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11585.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_116.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11611.JPEG, Bits: 8, Size: (500, 334), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11623.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11753.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1181.JPEG, Bits: 8, Size: (500, 357), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1184.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1186.JPEG, Bits: 8, Size: (148, 148), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11873.JPEG, Bits: 8, Size: (325, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1192.JPEG, Bits: 8, Size: (388, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11926.JPEG, Bits: 8, Size: (330, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_11945.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12004.JPEG, Bits: 8, Size: (500, 332), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1202.JPEG, Bits: 8, Size: (500, 332), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12032.JPEG, Bits: 8, Size: (324, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_121.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12198.JPEG, Bits: 8, Size: (500, 315), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1220.JPEG, Bits: 8, Size: (375, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12245.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_123.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12336.JPEG, Bits: 8, Size: (500, 334), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12381.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_124.JPEG, Bits: 8, Size: (500, 329), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1240.JPEG, Bits: 8, Size: (500, 302), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1241.JPEG, Bits: 8, Size: (375, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1247.JPEG, Bits: 8, Size: (500, 331), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12481.JPEG, Bits: 8, Size: (500, 332), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12485.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12500.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1255.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12597.JPEG, Bits: 8, Size: (332, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1265.JPEG, Bits: 8, Size: (500, 375), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12650.JPEG, Bits: 8, Size: (334, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_127.JPEG, Bits: 8, Size: (160, 109), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1271.JPEG, Bits: 8, Size: (144, 144), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1272.JPEG, Bits: 8, Size: (150, 147), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12751.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12773.JPEG, Bits: 8, Size: (240, 177), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12795.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12799.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_128.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1280.JPEG, Bits: 8, Size: (498, 327), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12803.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1281.JPEG, Bits: 8, Size: (380, 253), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1286.JPEG, Bits: 8, Size: (500, 375), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12878.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12879.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12888.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_12902.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1293.JPEG, Bits: 8, Size: (329, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1295.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1296.JPEG, Bits: 8, Size: (500, 383), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1298.JPEG, Bits: 8, Size: (500, 336), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1303.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_13038.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1307.JPEG, Bits: 8, Size: (120, 150), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_13072.JPEG, Bits: 8, Size: (500, 281), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_13073.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_13100.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_13162.JPEG, Bits: 8, Size: (500, 332), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_13199.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_13297.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1330.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1332.JPEG, Bits: 8, Size: (375, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_13335.JPEG, Bits: 8, Size: (500, 316), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_13343.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1335.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_13371.JPEG, Bits: 8, Size: (500, 332), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1348.JPEG, Bits: 8, Size: (160, 121), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1350.JPEG, Bits: 8, Size: (800, 600), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_13549.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1375.JPEG, Bits: 8, Size: (500, 351), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_13775.JPEG, Bits: 8, Size: (500, 322), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1378.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_13791.JPEG, Bits: 8, Size: (332, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_138.JPEG, Bits: 8, Size: (416, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_13820.JPEG, Bits: 8, Size: (500, 306), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1383.JPEG, Bits: 8, Size: (334, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1384.JPEG, Bits: 8, Size: (500, 375), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_13851.JPEG, Bits: 8, Size: (256, 400), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1386.JPEG, Bits: 8, Size: (500, 375), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_14031.JPEG, Bits: 8, Size: (500, 308), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_14113.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1416.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_14198.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_142.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1421.JPEG, Bits: 8, Size: (129, 140), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_14217.JPEG, Bits: 8, Size: (334, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1422.JPEG, Bits: 8, Size: (450, 299), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1426.JPEG, Bits: 8, Size: (414, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_14327.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_14397.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1450.JPEG, Bits: 8, Size: (150, 150), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1454.JPEG, Bits: 8, Size: (500, 375), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1457.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_14652.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_14704.JPEG, Bits: 8, Size: (333, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1472.JPEG, Bits: 8, Size: (500, 375), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1474.JPEG, Bits: 8, Size: (150, 100), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_14775.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1481.JPEG, Bits: 8, Size: (500, 333), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_1483.JPEG, Bits: 8, Size: (332, 500), Format:JPEG
Name: e:\code\imagenet-data\imagenet\ILSVRC\Data\CLS-LOC\train\n01871265\n01871265_149.JPEG, Bits: 8, Size: (800, 600), Format:JPEG
